,parameter multiplier,mean result,mean time
0,1e-08,0.0011289103466666668,50499.666666666664
1,2e-08,0.0013581881130000002,50425.933333333334
2,3e-08,0.0012938760686666668,50393.26666666667
3,4e-08,0.0012734791148333328,50429.35
4,5e-08,0.0012006820172000001,50466.88
5,6e-08,0.0011428647873333332,50449.944444444445
6,7e-08,0.002439912608190476,50461.13333333333
7,8e-08,0.002287988036,50456.00833333333
8,9e-08,0.0021362123957037035,50446.59259259259
9,1e-07,0.0020083381761333333,50435.12
10,2e-07,0.0019007295964848488,50440.65454545455
11,3e-07,0.0018484356403333335,50461.15555555555
12,4e-07,0.001777743801846154,50460.364102564105
13,5e-07,0.0017252668607619047,50454.41904761905
14,6e-07,0.0016962620047111113,50461.88
15,7e-07,0.0016430526319166667,50493.541666666664
16,8e-07,0.005523757735921568,50500.192156862744
17,9e-07,0.0052959389357777765,50503.65185185185
18,1e-06,0.0050680923152982464,50512.901754385966
19,2e-06,0.0048742914812,50506.36666666667
20,3e-06,0.007846898438285716,50512.044444444444
21,4e-06,0.0075517004580606065,50511.27272727273
22,5e-06,0.007274590061333333,50512.423188405795
23,6e-06,0.007175914959333333,50512.51111111111
24,7e-06,0.006920281421226667,50504.232
25,8e-06,0.006678488883743589,50499.28717948718
26,9e-06,0.00647224973002469,50496.73827160494
27,1e-05,0.00626972372252381,50504.97142857143
28,2e-05,0.006080009727494252,50513.34712643678
29,3e-05,0.005904554039466667,50523.69111111111
30,4e-05,0.005765655924215053,50528.50322580645
31,5e-05,0.005624107478666668,50527.79583333333
32,6e-05,0.00548837039769697,50536.98787878788
33,7e-05,0.005361839127568629,50536.22549019608
34,8e-05,0.005237450555542858,50535.85904761905
35,9e-05,0.0051342574247407406,50534.48888888889
36,0.0001,0.005092735476864865,50534.62342342342
37,0.0002,0.004986224474842105,50538.66842105263
38,0.0003,0.00487113842642735,50538.124786324785
39,0.0004,0.0064418297165999994,50553.4
40,0.0005,0.006324318423512196,50572.42764227642
41,0.0006,0.00620378632263492,50576.08253968254
42,0.0007,0.0060820587342015515,50585.71007751938
43,0.0008,0.005956555611,50584.51818181818
44,0.0009,0.005847565108814814,50587.05037037037
45,0.001,0.005739081380072463,50594.19565217391
46,0.002,0.005641703726411348,50596.6865248227
47,0.003,0.00554221424975,50599.895833333336
48,0.004,0.005456504756254423,50599.51292517007
49,0.005,0.005376242639795999,50606.00666666667
50,0.006,0.0052941248553555545,50611.84183006536
51,0.007,0.005207108648778205,50609.21153846154
52,0.008,0.0051293618682352205,50606.9534591195
53,0.009,0.005057574313761728,50607.43950617284
54,0.01,0.006187571144905455,50612.40242424243
55,0.02,0.006099404529936905,50613.70476190476
56,0.03,0.006017731690113451,50610.42105263158
57,0.04,0.005930888516835631,50607.48620689655
58,0.05,0.005838338021296045,50602.83615819209
59,0.06,0.005755363730496667,50599.99222222222
60,0.07,0.005678513985734427,50596.16174863388
61,0.08,0.0056121515892978485,50592.418279569894
62,0.09,0.0055332920925365075,50592.83174603175
63,0.1,0.005458352847965625,50594.08020833333
64,0.2,0.005392174773689231,50606.03692307692
65,0.3,0.0053304477963101,50601.792929292926
66,0.4,0.0052619565657582084,50596.069651741294
67,0.5,0.00520437679172255,50588.44705882353
68,0.6,0.005151686094451208,50584.43961352657
69,0.7,0.005092148671673334,50580.741904761904
70,0.8,0.0050553211335746485,50579.609389671365
71,0.9,0.005005393535423148,50584.039814814816
72,1.0,0.00495685466233516,50576.64200913242
